"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry2","marketcapname","Add Column"
1,"Allied Digital Services Limited","ADSL","115.52","20%","22,44,060","i.t","computers - software - medium / small","smallcap",""
2,"Xelpmoc Design and Tech Ltd","XELPMOC","89.5","19.99%","1,29,401","i.t","computers - software - medium / small","smallcap",""
3,"JHS Svendgaard Retail Ventures Ltd","RETAIL","20.06","19.98%","1,11,518","consumer discretionary","trading","smallcap",""
4,"Landsmill Green Limited","LANDSMILL","0.62","19.23%","69,35,351","services","trading","smallcap",""
5,"Shanti Gold International Ltd","SHANTIGOLD","325.68","14.83%","3,64,07,266","consumer discretionary","diamond cutting / jewellery","smallcap",""
6,"The Ugar Sugar Works Limited","UGARSUGAR","64.03","14.81%","1,36,99,429","fmcg","sugar","smallcap",""
7,"Mawana Sugars Limited","MAWANASUG","149.64","14.49%","25,61,542","fmcg","sugar","smallcap",""
8,"Primo Chemicals Ltd","PRIMO","25.28","13.41%","13,74,230","chemicals","chlor alkali / soda ash","smallcap",""
9,"Uttam Sugar Mills Limited","UTTAMSUGAR","293.15","12.75%","28,05,051","fmcg","sugar","smallcap",""
10,"K.m.sugar Mills Limited","KMSUGAR","32.46","11.7%","11,79,803","fmcg","sugar","smallcap",""
11,"Antelopus Selan Energy Ltd","ANTELOPUS","1,261.7","11.56%","78,77,531","energy","oil drilling / allied services","smallcap",""
12,"Som Distilleries & Breweries Limited","SDBL","74.36","10.59%","2,28,24,335","fmcg","breweries & distilleries","smallcap",""
13,"Saraswati Saree Depot Ltd","SSDL","73.31","10.57%","4,27,404","textiles","trading","smallcap",""
14,"AAA Technologies Ltd","AAATECH","101.5","10.52%","7,35,186","i.t","computers - software - medium / small","smallcap",""
15,"Dwarikesh Sugar Industries Limited","DWARKESH","45.01","10.48%","95,15,248","fmcg","sugar","smallcap",""
16,"SBC Exports Ltd","SBC","53.02","10.44%","2,38,68,200","textiles","textiles - products","smallcap",""
17,"Lords Chloro Alkali Ltd","LORDSCHLO","148.2","10.19%","3,02,916","chemicals","chlor alkali / soda ash","smallcap",""
18,"Avadh Sugar & Energy","AVADHSUGAR","796.5","10%","4,65,223","fmcg","sugar","smallcap",""
19,"Shoppers Stop Limited","SHOPERSTOP","423.55","10%","35,88,100","consumer discretionary","textiles - products","smallcap",""
20,"Cubex Tubings Limited","CUBEXTUB","152.24","10%","25,79,721","metals & mining","mining / minerals / metals","smallcap",""
21,"Anlon Healthcare Ltd","AHCL","31.51","9.98%","8,02,10,539","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
22,"Hindcon Chemicals Ltd","HINDCON","27.6","9.87%","1,88,464","chemicals","chemicals","smallcap",""
23,"Fcs Software Solutions Limited","FCSSOFT","1.46","9.77%","34,97,198","i.t","computers - software - medium / small","smallcap",""
24,"Dangee Dums Ltd","DANGEE","3.26","9.76%","9,09,887","fmcg","food - processing - indian","smallcap",""
25,"Bhageria Industries Limited","BHAGERIA","394.6","9.72%","9,33,103","chemicals","dyes and pigments","smallcap",""
26,"Magadh Sugar & Energy Ltd","MAGADSUGAR","551.45","9.63%","2,87,247","fmcg","sugar","smallcap",""
27,"Tips Films Ltd","TIPSFILMS","341.45","9.61%","24,778","media","entertainment / electronic media software","smallcap",""
28,"Davangere Sugar Company Ltd","DAVANGERE","2.4","9.59%","2,87,93,669","fmcg","sugar","smallcap",""
29,"Quadrant Future Tek Ltd","QUADFUTURE","547.5","9.41%","19,50,037","industrials","cables - power","smallcap",""
30,"Startech Finance Ltd","STARTECK","262.5","9.19%","211","financials","finance & investments","smallcap",""
31,"Heranba Industries Ltd","HERANBA","187.6","8.9%","33,33,268","chemicals","pesticides / agrochemicals - indian","smallcap",""
32,"Nelcast Limited","NELCAST","118.39","8.72%","7,02,669","castings, forgings & fasteners","castings & forgings","smallcap",""
33,"Lloyds Engineering Works Ltd","LLOYDSENGG","98.56","8.41%","6,06,74,433","industrials","engineering","midcap",""
34,"Dhampur Bio Organics Ltd","DBOL","122.25","7.99%","3,52,645","fmcg","sugar","smallcap",""
35,"Fineotex Chemical Limited","FCL","60.48","7.87%","4,70,41,849","chemicals","chemicals","midcap",""
36,"Rolex Rings Ltd","ROLEXRINGS","195.35","7.68%","71,69,312","auto","auto ancillaries","smallcap",""
37,"Whirlpool Of India Limited","WHIRLPOOL","918.9","7.67%","2,79,43,285","consumer discretionary","domestic appliances","midcap",""
38,"Almondz Global Securities Limited","ALMONDZ","21.38","7.65%","11,51,830","financials","finance & investments","smallcap",""
39,"Protean eGov Technologies Ltd","PROTEAN","690.7","7.59%","35,60,004","i.t","computers - software - medium / small","smallcap",""
40,"Mukand Limited","MUKANDLTD","167.05","7.59%","11,09,036","metals & mining","steel - medium / small","smallcap",""
41,"Artemis Medicare Services Ltd","ARTEMISMED","357.7","7.51%","1,89,80,196","healthcare","healthcare","midcap",""
42,"Bedmutha Industries Limited","BEDMUTHA","110.71","7.43%","17,660","metals & mining","mining / minerals / metals","smallcap",""
43,"Aether Industries Ltd","AETHER","1,767","7.34%","16,86,153","chemicals","chemicals","largecap",""
44,"Motilal Oswal S&P BSE Quality ETF Fund","MOQUALITY","207.59","7.33%","226","indices","indices","smallcap",""
45,"Dalmia Bharat Sugar And Industries Limited","DALMIASUG","428.75","7.32%","10,09,477","fmcg","sugar","smallcap",""
46,"Bodhi Tree Multimedia Ltd","BTML","7.46","7.03%","6,23,099","media","entertainment / electronic media software","smallcap",""
47,"Trejhara Solutions Ltd","TREJHARA","144.79","7.01%","46,259","i.t","computers - software - medium / small","smallcap",""
48,"Plastiblends India Limited","PLASTIBLEN","202.99","7%","2,08,830","chemicals","chemicals","smallcap",""
49,"Bohra Industries Ltd","BOHRAIND","15.97","6.97%","75,819","chemicals","fertilizers","smallcap",""
50,"Sangam (india) Limited","SANGAMIND","619.9","6.93%","4,34,786","textiles","textiles - spinning - synthetic / blended","smallcap",""
51,"Banaras Beads Limited","BANARBEADS","123.86","6.9%","36,764","building materials","glass & glass products","smallcap",""
52,"Stanley Lifestyles Ltd","STANLEY","144.32","6.73%","3,75,595","consumer discretionary","miscellaneous","smallcap",""
53,"Tamilnadu Telecommunication Limited","TNTELE","9.91","6.44%","92,723","industrials","cables - telephone","smallcap",""
54,"Engineers India Limited","ENGINERSIN","315.65","6.4%","1,96,15,591","realty","engineering - turnkey services","midcap",""
55,"Aaron Industries Ltd","AARON","124.11","6.37%","28,654","industrials","engineering","smallcap",""
56,"RKEC Projects Ltd","RKEC","24.26","6.22%","7,68,771","realty","construction","smallcap",""
57,"N R Agarwal Industries Ltd","NRAIL","677.25","6.19%","24,892","building materials","paper","smallcap",""
58,"Dhampur Sugar Mills Limited","DHAMPURSUG","174.67","6.09%","21,48,612","fmcg","sugar","smallcap",""
59,"Transport Corporation Of India Limited","TCI","883.7","6.03%","57,70,660","transportation","miscellaneous","midcap",""
60,"Man Industries (india) Limited","MANINDS","1,020.35","5.97%","17,62,428","metals & mining","steel - medium / small","midcap",""
61,"S Chand and Company Limited","SCHAND","145.18","5.87%","66,326","miscellaneous","printing & stationery","smallcap",""
62,"Electronics Mart India Ltd","EMIL","200.22","5.85%","67,76,165","consumer discretionary","trading","midcap",""
63,"Greaves Cotton Limited","GREAVESCOT","234.78","5.84%","1,07,29,752","industrials","engines","midcap",""
64,"Thomas Scott (india) Limited","THOMASCOTT","248.65","5.81%","1,60,337","readymade garments/apparels","textiles - products","smallcap",""
65,"Sakthi Sugars Limited","SAKHTISUG","19","5.79%","6,24,810","fmcg","sugar","smallcap",""
66,"Palash Securities","PALASHSECU","88.92","5.72%","1,078","financials","finance & investments","smallcap",""
67,"Delta Corp Limited","DELTACORP","76.84","5.72%","2,64,45,158","miscellaneous","recreation / amusement parks","smallcap",""
68,"Ajax Engineering Ltd","AJAXENGG","607.75","5.66%","6,95,472","industrials","engineering","midcap",""
69,"Saurashtra Cement Ltd","SAURASHCEM","55.72","5.61%","4,27,455","building materials","cement - north india","smallcap",""
70,"Lloyds Enterprises Ltd","LLOYDSENT","79.67","5.41%","1,19,61,867","services","trading","midcap",""
71,"Wheels India Limited","WHEELS","2,296.4","5.3%","6,15,400","auto","auto ancillaries","midcap",""
72,"Steelcast Ltd","STEELCAS","376.5","5.23%","10,78,414","castings, forgings & fasteners","castings & forgings","smallcap",""
73,"Welspun Corp Limited","WELCORP","2,832.4","5.21%","27,63,523","industrials","steel - large","largecap",""
74,"Rpg Life Sciences Limited","RPGLIFE","3,050.6","5.2%","1,11,001","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
75,"Remsons Industries Limited","REMSONSIND","116.8","5.11%","42,62,134","auto","auto ancillaries","smallcap",""
76,"Tara Chand Infralogistic Solutions Ltd","TARACHAND","48.46","5.1%","71,075","miscellaneous","diversified - medium / small","smallcap",""
77,"Veto Switchgears And Cables Limited","VETO","150.32","5.09%","3,54,342","industrials","electric equipment","smallcap",""
78,"Kopran Limited","KOPRAN","284.53","5.07%","6,62,546","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
79,"Ponni Sugars (erode) Limited","PONNIERODE","399.8","5.04%","1,32,564","fmcg","sugar","smallcap",""
80,"Kabra Extrusion Technik Limited","KABRAEXTRU","846.4","5%","4,54,583","industrials","engineering","smallcap",""
81,"Birla Cable Limited","BIRLACABLE","362.45","5%","4,88,468","industrials","cables - telephone","smallcap",""
82,"Kronox Lab Sciences Ltd","KRONOX","206.58","5%","1,45,260","chemicals","chemicals","smallcap",""
83,"RBZ Jewellers Ltd","RBZJEWEL","180.87","5%","63,541","consumer discretionary","diamond cutting / jewellery","smallcap",""
84,"Mahalaxmi Rubtech Ltd","MHLXMIRU","170.81","5%","14,372","textiles","textiles - processing","smallcap",""
85,"OCCL Ltd","OCCLLTD","167.67","5%","1,56,212","chemicals","chemicals","smallcap",""
86,"STL Networks Ltd","STLNETWORK","54.61","5%","89,81,723","telecom-service","telecommunications - service provider","smallcap",""
87,"ESAF Small Finance Bank Ltd","ESAFSFB","42.86","5%","11,95,142","bank","banks - private sector","smallcap",""
88,"Indiabulls Limited","IBULLSLTD","29.83","5%","1,41,85,546","miscellaneous","diversified - medium / small","midcap",""
89,"Sumeet Industries Limited","SUMEETINDS","12.18","5%","19,17,462","textiles","textiles - manmade","smallcap",""
90,"The Hi-tech Gears Limited","HITECHGEAR","618.35","4.99%","3,554","auto","auto ancillaries","smallcap",""
91,"Delta Magnets Limited","DELTAMAGNT","57.16","4.98%","9,102","textiles","textiles - products","smallcap",""
92,"Grand Foundry Ltd","GFSTEELS","32.45","4.98%","15,795","metals & mining","steel - medium / small","smallcap",""
93,"Shekhawati Industries Ltd","SHEKHAWATI","27.39","4.98%","26,961","textiles","textiles - processing","smallcap",""
94,"Raj Television Network Limited","RAJTV","10.76","4.98%","85,135","media","entertainment / electronic media software","smallcap",""
95,"Neueon Corporation Ltd","NEUEON","14.39","4.96%","14,637","services","trading","smallcap",""
96,"Lcc Infotech Limited","LCCINFOTEC","4.23","4.96%","5,90,793","services","computers - education","smallcap",""
97,"Cmi Limited","CMICABLES","2.75","4.96%","45,670","industrials","cables - power","smallcap",""
98,"Praxis Home Retail Ltd","PRAXIS","4.67","4.94%","1,41,877","consumer discretionary","trading","smallcap",""
99,"Delphi World Money Ltd","DELPHIFX","6.2","4.91%","30,897","financials","finance & investments","smallcap",""
100,"Tantia Constructions Ltd","TICL","6.42","4.9%","5,51,359","realty","construction","smallcap",""
101,"Shriram Pistons & Rings Limited","SHRIPISTON","4,746.8","4.86%","1,10,008","auto","auto ancillaries","largecap",""
102,"SAL Steel","SALSTEEL","93.6","4.85%","7,41,473","metals & mining","steel - sponge iron","smallcap",""
103,"Spectrum Electrical Industries Ltd","SPECTRUM","3,518.8","4.84%","16,796","industrials","electric equipment","midcap",""
104,"Heg Limited","HEG","248.5","4.83%","90,65,570","industrials","electrodes - graphites","midcap",""
105,"Amd Industries Limited","AMDIND","58.8","4.83%","53,354","industrials","packaging","smallcap",""
106,"DCM Shriram Industries Ltd","DCMSRIND","39.71","4.83%","24,01,956","fmcg","sugar","smallcap",""
107,"Goldstone Technologies Limited","GOLDTECH","48.51","4.82%","50,356","i.t","computers - software - medium / small","smallcap",""
108,"Dynamatic Technologies Limited","DYNAMATECH","13,153","4.8%","38,127","aerospace & defence","engineering","midcap",""
109,"AGS Transact Technologies Ltd","AGSTRA","2.4","4.8%","5,79,623","miscellaneous","miscellaneous","smallcap",""
110,"Prozone Realty Ltd","PROZONER","56.75","4.78%","11,25,326","miscellaneous","miscellaneous","smallcap",""
111,"ISGEC Heavy Engineering  Ltd","ISGEC","890.55","4.76%","2,18,727","realty","engineering - turnkey services","midcap",""
112,"Gillanders Arbuthnot & Company Limited","GILLANDERS","108.69","4.75%","20,672","fmcg","tea","smallcap",""
113,"Bosch Home Comfort India Ltd","BOSCH-HCIL","1,811.6","4.72%","98,241","consumer discretionary","air-conditioners","smallcap",""
114,"Yasho Industries Ltd","YASHO","4,234.1","4.71%","45,970","chemicals","chemicals","smallcap",""
115,"Garware Hi Tech Films Ltd","GRWRHITECH","6,640","4.69%","90,455","industrials","packaging","midcap",""
116,"Tamilnadu Petroproducts Limited","TNPETRO","132.93","4.69%","70,29,643","energy","petrochemicals","smallcap",""
117,"Mazda Limited","MAZDA","280.05","4.67%","68,878","industrials","engineering","smallcap",""
118,"Spl Industries Limited","SPLIL","30.99","4.66%","19,895","textiles","trading","smallcap",""
119,"Man Infraconstruction Limited","MANINFRA","129.95","4.65%","38,30,660","realty","construction","midcap",""
120,"Satin Creditcare Network Limited","SATIN","236.65","4.64%","4,21,528","financials","finance & investments","smallcap",""
121,"Surya Roshni Limited","SURYAROSNI","227.45","4.57%","9,23,512","industrials","steel - large","smallcap",""
122,"Kcp Sugar And Industries Corporation Limited","KCPSUGIND","30.33","4.55%","1,01,593","fmcg","sugar","smallcap",""
123,"Swelect Energy Systems Limited","SWELECTES","587","4.51%","72,324","industrials","electric equipment","smallcap",""
124,"Tvs Srichakra Limited","TVSSRICHAK","4,609.5","4.48%","10,416","auto","tyres","smallcap",""
125,"Airo Lam Ltd","AIROLAM","92.29","4.47%","5,894","building materials","miscellaneous","smallcap",""
126,"Inox India Ltd","INOXINDIA","2,156.8","4.46%","3,77,035","industrials","packaging","midcap",""
127,"Manoj Vaibhav Gems N Jewellers Ltd","MVGJL","224.38","4.46%","9,03,282","consumer discretionary","diamond cutting / jewellery","smallcap",""
128,"Sambhv Steel Tubes Ltd","SAMBHV","159.12","4.44%","51,27,428","metals & mining","steel - medium / small","smallcap",""
129,"Vascon Engineers Limited","VASCONEQ","34.76","4.42%","67,19,189","realty","construction","smallcap",""
130,"Bajaj Hindusthan Sugar Limited","BAJAJHIND","20.78","4.42%","3,11,08,504","fmcg","sugar","smallcap",""
131,"Pearl Global Industries Limited","PGIL","1,329.1","4.36%","4,77,150","readymade garments/apparels","textiles - products","midcap",""
132,"Sonam Ltd","SONAMLTD","69.37","4.32%","57,766","consumer discretionary","miscellaneous","smallcap",""
